mainId,categoryId,category,discipline,disciplineId,topic,topicId,grade,gradeId,level,description,description gepeto,control group,time,query,,locale
13,e4932d07-56a8-4baa-9d5d-65132053a318,Food and Eating Disorders,Science,3b9598f3-1dca-4ad1-ae67-c0c569fed158,Life and Evolution,173d57da-66b5-455e-948b-9911e5c10c8b,5th grade,5th-grade-en-international,200,"Identify the main eating disorders, such as obesity, verifying that human nutrition should be balanced.",,,300,"{
        id: '8b3fa247-0843-4bbe-8637-eb5fe26b7e00',
        name: 'Alimentación y Trastornos Alimentarios',
        level: 200,
        keywords: [],
        slug: slugify('Reconocer cuáles son los principales trastornos alimentarios, como la obesidad, verificando que la alimentación humana debe ser equilibrada.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1ce037ab-b6da-4ccd-aa52-29210b2e3625',
        gradeId: 'primaria5',
        topicId: '25354d7f-e0ef-492a-8926-7a442f041927',
        description: 'Reconocer cuáles son los principales trastornos alimentarios, como la obesidad, verificando que la alimentación humana debe ser equilibrada.',
        bncc: [],
        averageTime: 300,
      },",,en
16,7f32c183-6431-40c4-a581-b87f5c5a56d8,Vocabulary: Scientific Technical Vocabulary,English,415766c7-7703-4f3c-80fe-d4462faf0bb8,Vocabulary,def2717e-dfcb-4423-adcc-64b843b17c6f,11th grade,11th-grade-en-international,320,"Recognize and use scientific technical vocabulary, knowing how to use these words appropriately.",,,200,"{
        id: '0c0378c2-f817-4cf1-a28c-dc7e65f22d8d',
        name: 'Vocabulario: Vocabulario Técnico Científico',
        level: 320,
        keywords: [],
        slug: slugify('Reconocer y utilizar el vocabulario técnico científico, conociendo el uso de estas palabras de manera adecuada.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'a8f17dc2-331d-4ef5-a64d-93016f44de0b',
        gradeId: 'media2',
        topicId: '1cb61515-294b-4c70-a5c7-a1a208e6fdbd',
        description: 'Reconocer y utilizar el vocabulario técnico científico, conociendo el uso de estas palabras de manera adecuada.',
        bncc: [],
        averageTime: 200,
      },",,en
20,46bb576d-0b06-4087-90e2-94203e56af01,Introduction to Organic Chemistry: Orbital Hybridization,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,Organic Chemistry: Organic Compounds,648174ef-7526-48a9-b540-189e5184c7dd,12th grade,12th-grade-en-international,530,"Verify the possible hybridizations of carbon such as sp, sp², and sp³ and the molecular geometries generated in each hybridization.",,,100,"{
        id: '18d04b07-aac4-4a77-bf7e-a0a181315149',
        name: 'Introducción a la Química Orgánica: Hibridación de Orbital',
        level: 530,
        keywords: [],
        slug: slugify('Verificar las posibles hibridaciones del carbono como sp, sp² y sp³ y las geometrías moleculares generadas en cada hibridación.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media3',
        topicId: '3743195f-73f8-44b9-a2cc-3c21b7c19541',
        description: 'Verificar las posibles hibridaciones del carbono como sp, sp² y sp³ y las geometrías moleculares generadas en cada hibridación.',
        bncc: [],
        averageTime: 100,
      },",,en
21,75d48774-910d-40b1-bdc5-203f0b45e6d2,Nuclear Reaction: Kinetic Constant,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,"Thermochemistry, Kinetics and Nuclear",87a11dad-59f7-41de-9b2a-3594c41c8ec3,11th grade,11th-grade-en-international,480,"Calculate the kinetic constant of radioactive decay and use it to calculate concentrations, half-life or semi-life of a radioactive sample.",,,100,"{
        id: '07c6a45d-e8c3-4a21-8b4e-d9e5bae022aa',
        name: 'Reacción Nuclear: Constante Cinética',
        level: 480,
        keywords: [],
        slug: slugify('Calcular la constante cinética de desintegración radiactiva y utilizarla para calcular concentraciones, vida media o semivida de una muestra radiactiva.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media2',
        topicId: 'db316d5e-2695-41cd-ba9a-d37c073ec32f',
        description: 'Calcular la constante cinética de desintegración radiactiva y utilizarla para calcular concentraciones, vida media o semivida de una muestra radiactiva.',
        bncc: [],
        averageTime: 100,
      },",,en
22,257b3491-8d29-4fc8-8ca5-2f5dd88f01e5,Islam: Birth and Expansion: Review,History,22ef9ad7-fdcf-450e-ba81-7b61fbe5931c,Medieval History,e1c47a9b-1d86-4826-a611-4b02174c4f04,12th grade,12th-grade-en-international,690,"Study about the origin and formation of Islam, its expansion, and the formation of caliphates throughout the Middle Ages.",,,100,"{
        id: 'ab944b3d-31e0-46a2-911a-ffd3dd6e1366',
        name: 'Islamismo: Nacimiento y Expansión: Revisión',
        level: 690,
        keywords: [],
        slug: slugify('Estudiar sobre el origen y la formación del Islam, su expansión y formación de los califatos a lo largo de la Edad Media.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'df39c882-1be0-4014-8c10-0a2a45649b22',
        gradeId: 'media3',
        topicId: '46ae5ea3-9a29-418e-bb18-f917828353f4',
        description: 'Estudiar sobre el origen y la formación del Islam, su expansión y formación de los califatos a lo largo de la Edad Media.',
        bncc: [],
        averageTime: 100,
      },",,en
23,62653765-d2f7-4a09-bbdb-b2c63235def5,Logarithm: Values,Mathematics,cb60032b-7242-4e90-a4d7-17dbf5b14176,Algebra,87fe07aa-598b-42d0-9f9b-a8dd73c2f818,10th grade,10th-grade-en-international,740,"Calculate the value of logarithms. Solve problems that require the calculation of logarithms, such as the calculation of pH and sound intensity.",,,50,"{
        id: '3cef879c-979a-48fd-b4f0-b1d98ca0542c',
        name: 'Logaritmo: Valores',
        level: 740,
        keywords: [],
        slug: slugify('Calcular el valor de logaritmos. Resolver problemas que requieran el cálculo de logaritmos, como el cálculo de pH e intensidad sonora.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '100814cb-21d2-4b30-b13d-54c12b848bcb',
        gradeId: 'media1',
        topicId: '81d1e794-5a74-4c6e-9491-27ddb08fb3fe',
        description: 'Calcular el valor de logaritmos. Resolver problemas que requieran el cálculo de logaritmos, como el cálculo de pH e intensidad sonora.',
        bncc: [],
        averageTime: 50,
      },",,en
25,d13f1de2-b4ba-4b16-b008-905b250b2944,Ecology: Food and Web Chain,Biology,1a61eaa3-a8a5-46cc-9bc0-fc481544248b,Ecology and Environment,bac95fcf-e498-4ca3-a2c3-3cd686e247f8,10th grade,10th-grade-en-international,50,"Understand what a food chain and web are, differentiate between consumers, decomposers, and producers. Comprehend the human effects on food webs.",,,100,"{
        id: 'af0daf11-470e-4f25-a4da-143a0a1a8d3b',
        name: 'Ecología: Cadena y Red Alimentaria',
        level: 50,
        keywords: [],
        slug: slugify('Entender qué es una cadena y una red alimentaria, diferenciar los consumidores, de los descomponedores y de los productores. Comprender los efectos humanos en las redes alimentarias.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'c2e1b9de-07d7-44d1-8d41-17279851a556',
        gradeId: 'media1',
        topicId: 'bf870494-a5f8-4aea-8b4a-4a87dce8311e',
        description: 'Entender qué es una cadena y una red alimentaria, diferenciar los consumidores, de los descomponedores y de los productores. Comprender los efectos humanos en las redes alimentarias.',
        bncc: [],
        averageTime: 100,
      },",,en
27,b41be79c-31e6-46b0-aec3-8c0e4b85e884,Cold War,Geography,5b4b1246-d673-44c5-b933-cd6c1962436e,Geopolitics,3de80104-e407-41d8-ab95-93fde305b6ae,9th grade,9th-grade-en-international,350,Understand the issues involving the concept of the Cold War and how the US and the USSR behaved in relation to global geopolitics.,,,200,"{
        id: '01734ab0-c595-489c-9bd9-31bae29a0685',
        name: 'Guerra Fría',
        level: 350,
        keywords: [],
        slug: slugify('Conocer las cuestiones que involucran el concepto de Guerra Fría y cómo se comportaron EE. UU. y la URSS en relación con la geopolítica mundial.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'b81ddc25-26b9-4a05-8087-fe6d1556e837',
        gradeId: 'secundaria3',
        topicId: 'a3aea5b8-2c28-423f-a6fd-2f7fc879e63f',
        description: 'Conocer las cuestiones que involucran el concepto de Guerra Fría y cómo se comportaron EE. UU. y la URSS en relación con la geopolítica mundial.',
        bncc: [],
        averageTime: 200,
      },",,en
28,4906b332-3929-4a19-89a9-d70d81e6ae6b,Simple and Thermal Machines,Science,3b9598f3-1dca-4ad1-ae67-c0c569fed158,Matter and Energy,40845c1b-2e6a-41e5-9dae-12103a05edd7,7th grade,7th-grade-en-international,130,"Understand the basic functioning of thermal machines and simple machines, such as the operation of levers, steam engines, and combustion engines.",,,200,"{
        id: '7134c5c2-1dd7-4389-8c2a-f3b420c1220e',
        name: 'Máquinas Simples y Térmicas',
        level: 130,
        keywords: [],
        slug: slugify('Comprender el funcionamiento básico de máquinas térmicas y máquinas simples, como el funcionamiento de palancas, máquinas de vapor y motores de combustión.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1ce037ab-b6da-4ccd-aa52-29210b2e3625',
        gradeId: 'secundaria1',
        topicId: 'c0aaab49-dedb-4405-b8e4-9cb32c183f1c',
        description: 'Comprender el funcionamiento básico de máquinas térmicas y máquinas simples, como el funcionamiento de palancas, máquinas de vapor y motores de combustión.',
        bncc: [],
        averageTime: 200,
      },",,en
29,278d461a-6bc5-425e-b3d2-e767f45b8488,Organic Functions: Organic Halide,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,Organic Chemistry: Organic Compounds,648174ef-7526-48a9-b540-189e5184c7dd,12th grade,12th-grade-en-international,600,"Understand that organic halides are organic compounds that have a halogen substituting a hydrogen, their properties and characteristics.",,,50,"{
        id: 'e4f4cf3a-f1b9-41d2-9292-415802685166',
        name: 'Funciones Orgánicas: Haluro Orgánico',
        level: 600,
        keywords: [],
        slug: slugify('Comprender que los haluros orgánicos son los compuestos orgánicos que poseen un halógeno sustituyendo un hidrógeno, sus propiedades y características.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media3',
        topicId: '3743195f-73f8-44b9-a2cc-3c21b7c19541',
        description: 'Comprender que los haluros orgánicos son los compuestos orgánicos que poseen un halógeno sustituyendo un hidrógeno, sus propiedades y características.',
        bncc: [],
        averageTime: 50,
      },",,en
30,09a1c54c-18db-4f06-8f2f-e84ad0c28a8f,Games and Fun: Hide and Seek and Tag,Physical Education,bdb2036f-032c-4ee7-bc1f-c10387415f10,Recreation,200bd8e6-bc16-4417-a445-8a91a6e51aee,2nd grade,2nd-grade-en-international,30,Understanding the importance of games for motor development and physical health of participants.,,,800,"{
        id: '611ec3a8-c67e-4214-af5b-dd14e9714fa0',
        name: 'Juegos y Diversión: Escondite y Pilla-Pilla',
        level: 30,
        keywords: [],
        slug: slugify('Conocer la importancia de los juegos para el desarrollo motor del cuerpo y para la salud física de los participantes.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '12c7c5ca-4b2c-4403-bf28-87eeb5c81b5b',
        gradeId: 'primaria2',
        topicId: '0e38e075-01ab-4949-811a-66842c79a80f',
        description: 'Conocer la importancia de los juegos para el desarrollo motor del cuerpo y para la salud física de los participantes.',
        bncc: [],
        averageTime: 800,
      },",,en
31,9f19c98c-4674-47a1-873b-c6a7404d9532,Fractions: Representation,Mathematics,cb60032b-7242-4e90-a4d7-17dbf5b14176,Arithmetic and Numbers,35d8ae27-151a-4113-a3fe-57ef47c2b27d,5th grade,5th-grade-en-international,310,"Identify and represent fractions (less than and greater than one), associating them with the result of a division or the idea of part of a whole.",,,200,"{
        id: '4f0d18c8-00ce-4d43-9d0a-7627837b65a1',
        name: 'Fracciones: Representación',
        level: 310,
        keywords: [],
        slug: slugify('Identificar y representar fracciones (menores y mayores que la unidad), asociándolas al resultado de una división o a la idea de parte de un todo.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '100814cb-21d2-4b30-b13d-54c12b848bcb',
        gradeId: 'primaria5',
        topicId: '89ee4364-c4c7-46d4-98b2-ca3c370cc998',
        description: 'Identificar y representar fracciones (menores y mayores que la unidad), asociándolas al resultado de una división o a la idea de parte de un todo.',
        bncc: [],
        averageTime: 200,
      },",,en
32,2cd5a077-32d9-4f5c-b6e4-b41b26fee108,European Maritime Expansion: Review,History,22ef9ad7-fdcf-450e-ba81-7b61fbe5931c,Modern History,a447c9ce-3e8c-4993-97f1-ecc2a381a4a3,12th grade,12th-grade-en-international,710,"Identify the actors who made the European maritime expansion possible, the commercial issue, and the pioneering roles of Portugal and Spain.",,,100,"{
        id: 'ade4063d-07f5-46c6-8497-994b688ce1f7',
        name: 'Expansión Marítima Europea: Revisión',
        level: 710,
        keywords: [],
        slug: slugify('Identificar los actores que hicieron posible la expansión marítima europea, la cuestión comercial, el pionerismo de Portugal y España.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'df39c882-1be0-4014-8c10-0a2a45649b22',
        gradeId: 'media3',
        topicId: 'a4d3a4c6-c9fa-4244-bac7-2de31bd1ec37',
        description: 'Identificar los actores que hicieron posible la expansión marítima europea, la cuestión comercial, el pionerismo de Portugal y España.',
        bncc: [],
        averageTime: 100,
      },",,en
34,809b7bf6-546c-416b-831f-d6a7a00b55d7,Organic Functions: Nomenclature of Cyclic Hydrocarbons,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,Organic Chemistry: Organic Compounds,648174ef-7526-48a9-b540-189e5184c7dd,12th grade,12th-grade-en-international,550,"Name and recognize the names of cyclic hydrocarbons, such as cyclobutane and cyclohexane.",,,100,"{
        id: '7ee3b506-f6c2-4db2-9d24-f19dcb0c95a5',
        name: 'Funciones Orgánicas: Nomenclatura de Hidrocarburos Cíclicos',
        level: 550,
        keywords: [],
        slug: slugify('Nombrar y reconocer los nombres de los hidrocarburos cíclicos, como por ejemplo el ciclo butano y el ciclo hexano.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media3',
        topicId: '3743195f-73f8-44b9-a2cc-3c21b7c19541',
        description: 'Nombrar y reconocer los nombres de los hidrocarburos cíclicos, como por ejemplo el ciclo butano y el ciclo hexano.',
        bncc: [],
        averageTime: 100,
      },",,en
35,424b413c-6e59-47a1-81d7-459098bb1d46,Organic Functions: Phenol,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,Organic Chemistry: Organic Compounds,648174ef-7526-48a9-b540-189e5184c7dd,12th grade,12th-grade-en-international,560,Understand that phenols are organic compounds that possess the hydroxyl group attached to the aromatic ring and indicate their properties and characteristics.,,,50,"{
        id: '7e8acc2d-54b5-4a7f-9211-24089865708f',
        name: 'Funciones Orgánicas: Fenol',
        level: 560,
        keywords: [],
        slug: slugify('Comprender que los fenoles son compuestos orgánicos que poseen el grupo hidroxilo unido al anillo aromático e indicar sus propiedades y características.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media3',
        topicId: '3743195f-73f8-44b9-a2cc-3c21b7c19541',
        description: 'Comprender que los fenoles son compuestos orgánicos que poseen el grupo hidroxilo unido al anillo aromático e indicar sus propiedades y características.',
        bncc: [],
        averageTime: 50,
      },",,en
36,27498d9c-2bcc-4a7e-9667-1ff380c4914b,Futsal,Physical Education,bdb2036f-032c-4ee7-bc1f-c10387415f10,Sport,fcd97af9-0cbf-4019-b8d3-7769917086a6,9th grade,9th-grade-en-international,160,"Learn the rules of indoor soccer, its characteristics, history, and development of the sport, as well as the main club and national team championships.",,,600,"{
        id: '9a9afdbf-240e-455b-b290-057f12fd66f2',
        name: 'Fútbol Sala',
        level: 160,
        keywords: [],
        slug: slugify('Conocer las reglas del fútbol sala, las características, la historia y el desarrollo del deporte, los principales campeonatos de clubes y selecciones.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '12c7c5ca-4b2c-4403-bf28-87eeb5c81b5b',
        gradeId: 'secundaria3',
        topicId: '910a7bda-995a-4e1b-ad3b-4125893f4af6',
        description: 'Conocer las reglas del fútbol sala, las características, la historia y el desarrollo del deporte, los principales campeonatos de clubes y selecciones.',
        bncc: [],
        averageTime: 600,
      },",,en
